date,year,open price,volume
2021-01-29,2021,182.2550,183179422
2020-01-31,2020,145.2900,197360521
2019-01-31,2019,108.1000,154323667
2018-01-31,2018,108.9500,159773731
2017-01-31,2017,105.3000,146514046
2016-01-29,2016,103.1200,222648291
2015-01-30,2015,94.9100,139385835
2014-01-31,2014,76.0400,144225600
2013-01-31,2013,50.8000,186436300
2012-01-31,2012,37.9700,211135700
2011-01-31,2011,37.7400,196560600
2010-01-29,2010,32.2500,232174700
2009-01-30,2009,22.7600,278390800
2008-01-31,2008,32.3000,311584700
2007-01-31,2007,34.2100,215072300
2006-01-31,2006,24.0800,300722200
2005-01-31,2005,27.8100,144775700
2004-01-30,2004,23.4900,185140500
2003-01-31,2003,16.8000,147915700
2002-01-31,2002,20.9000,165730800
2001-01-31,2001,28.1300,137020500
2000-01-31,2000,29.1300,247148200
